id,link,post_time,job_name,salary,place,job_nature,experience,education,job_number,job_kind,advantage,job_content,job_place,company_name,company_size,company_nature,company_industry,company_homepage,company_address,hot_score,job_safety_score,company_reputation_score,salary_level_score
c3d4396ce6dc7e8edbdcd449a75d13ba,http://m.job1001.com/jobdetail_53050922.htm?fromtype=baidu_3g,2019-05-04,招投标经理,7000-8000,北京,全职,3-5年,大专,若干,招投标人员,,1、建筑工程造价、消防、电气自动化等相关专业专科及以上学历；2、3年（含）以上弱电工程造价工作经验，能够独立完成技术标书的制作；3、能够独立完成消防专业工程的概预算工作。（弱电消防设备安装：水喷淋系统、火灾自动报警、消火栓、通风排烟等)4、有2年以上消防工程的现场施工经验者优先录用；（水喷淋系统、自动报警系统、消火栓系统、排风排烟等）5、全面掌握工程造价专业技术，熟练使用预算软件、绘图软件；6、熟悉消防、建筑智能化、机电工程设计、施工、验收技术规范；7、能够独立熟练进行图纸识别、核查、计算工程量及投标文件制作；8、熟悉建筑行业成本控制流程，具有较强成本控制意识；9、具有建筑行业建造师证书者优先录用。,北京丰台区,中安华太,50-99人,民营,房地产|建筑|装修,NULL,科丰桥,16.0,20.0,18.0,18
485009ecf2894ca7c2f2b5be898d0bb5,http://zhaopin.baidu.com/10111278122,2019-05-04,高薪诚聘销售精英有资源有团队,8000-20000,北京,全职,1-2年,大专,10,市场,带薪年假;医疗保险;交通补贴;年底双薪;通讯补贴;年度旅游,职位描述:1、本着专业，确实，迅速，负责的原则，为区域内的客户提供全方位，全功能，专业化的满意服务。;2、薪资福利待遇，底薪+提成+月奖+季奖+年终奖+管理津贴+保险+竞赛旅游（根据职级多达30项）;3、公司倡导公平、公正、公开、透明的晋升机制，业务团队管理人员没有空降兵，不论资排辈，业绩为王，竞聘上岗。;4、最好的培训在平安，以平安金融学院（金融界黄埔军校）作为依托，为经理人开发了大量培训课程。专业培训前途坦荡，平安帮你激发无穷潜能，本着经营哲学，实现远景目标，超越事业巅峰！;展开全部,永安里卓明大厦,中国平安人寿保险股份有限公司北京分公司,10000人以上,股份制公司,所属行业：保险业,NULL,北京市西城区金融大街23号平安大厦13、14层,16.0,20.0,18.0,12
66674830c8218854192b09240c775ace,http://zhaopin.baidu.com/10111349804,2019-05-04,网络主播招聘,10000-20000,北京,全职,不限,不限,20,娱乐/影视,包住;交通补贴;餐补,职位描述:一、招聘要求：女性，工作认真，有责任心，有上进心，有良好的服务意识。;二、善于沟通，与无经验均可，无工作经验可免费培训，带薪学习。;展开全部,高碑店乡西店村37号楼10号一层,北京九天久文化传媒有限公司,100,个人企业,所属行业：文化艺术业,NULL,北京市朝阳区高碑店乡西店村37号楼10号一层,12,20.0,18.0,12
e1b5effcb7071074c946bc177db407fe,http://zhaopin.baidu.com/10111277421,2019-05-04,培训讲师,8000-12000,北京,全职,不限,大专,10,教育/培训,带薪年假;医疗保险;交通补贴;年底双薪;通讯补贴;年度旅游,职位描述:1、本着专业，确实，迅速，负责的原则，为区域内的客户提供全方位，全功能，专业化的满意服务。;2、薪资福利待遇，底薪+提成+月奖+季奖+年终奖+管理津贴+保险+竞赛旅游（根据职级多达30项）;3、公司倡导公平、公正、公开、透明的晋升机制，业务团队管理人员没有空降兵，不论资排辈，业绩为王，竞聘上岗。;4、最好的培训在平安，以平安金融学院（金融界黄埔军校）作为依托，为经理人开发了大量培训课程。专业培训前途坦荡，平安帮你激发无穷潜能，本着经营哲学，实现远景目标，超越事业巅峰！;展开全部,永安里卓明大厦,中国平安人寿保险股份有限公司北京分公司,10000人以上,股份制公司,所属行业：保险业,NULL,北京市西城区金融大街23号平安大厦13、14层,17.0,20.0,18.0,12
9c0841d6d8dedd5bd264c01c41650458,http://m.58.com/bj/zplvyoujiudian/37743690336789x.shtml?utm_source=market&spm=u-LMiOofB2J9tMcKG.baidubaipin&pagefrom=baidubaipin,2019-05-04,直招保安精英高薪聘,3000-5000,北京,全职,1-3年,初中,50人,餐饮,五险一金;交通补助;加班补助;包住;包吃;周末双休;年底双薪;房补;话补;饭补,公司直招，各地区安保人员，所有岗位均属公司内部直招，请有意者与我电话联系，欢迎到工作项目实地考察了解。任职资格：1：年龄18-55周岁。2：身高赤足160cm以上，以面试为准。3：身体健康匀称、五端正，形象良好，退伍兵优先。4：个人需携带本人《身份证原件》或《户口本原件》，退伍军人需带退伍证。公司待遇：1：包吃、包住、服装、被褥、皮靴、大衣都由公司免费发放。2：服装免费提供（免费干洗），宿舍是标准间（4-6）人，室内有无线网，不住地下室。3：不压身份证,每月按时发放工资，绝不拖欠。4：入职不收员工任何费用和押金（收取押金及任何费用的请谨慎）5：满一年有工龄工资，有带薪年假，节日补助，生日补助等等。6：每天工作8个小时，超出八小时按加班费发放。薪资待遇：,北京东城东直门11,北京军友保安服务有限公司,1000-9999人,民营,所属行业：商务服务业,http://jyba.china.b2b.cn//,北京海淀建材城西二里23号楼一层商业03号,17.0,20.0,18.0,15
e637e41f214aadc3088f38919065801c,http://3g.ganji.com/bj_zpjiudiancanyin/3625707370x?from=baidu_open&ca_n=baidu_open_zhaopin_001&ca_s=tg_baidu&wapadprurl2=adurl,2019-05-04,北京高端KTV招聘夜班女服务员,20000以上,北京,全职,不限,不限,30人,美容/健身/休闲娱乐,,职位招聘：服务员;职​‌‌位性别：（女）;职位年龄：18岁-28岁;职位身高：净身高1.65cm以上（漂亮可放宽到160cm）;展开全部,北京朝阳亚运村北辰东路五洲风情,北京享缘酒店管理中心（普通合伙）,100-499人,民营,所属行业：住宿业,NULL,NULL,17.0,14.0,16.0,20
5591c8eaa0b6294795c2e3ea3dfc163c,http://m.lagou.com/jobs/5875098.html?utm_source=m_cf_seo_ald_wap,2019-05-04,招聘经理/主管(北京忧客商贸有限公司),10000-20000,北京,全职,3-5年,大专,若干,人力资源,,职位描述：1、招聘经验丰富，根据职位要求，进行职位要点整理，能快速理解各种类型职位、抓住职位痛点、精准搜寻候选人，制定访寻方向和访寻方式，积累候选人资源；2、积极了解互联网以及零售行业现状，根据任职要求和标准，拓展不同渠道搜索人才、储备人才；3、对候选人进行沟通，评估，推荐，全程跟进各职位全部招聘流程并跟踪面试反馈；4、协调offer，以及入职后一系列的后续工作5、新员工的培训和指导，辅助新员工完成case。任职要求：1、人力资源或相关专业专业以上学历；2、熟练掌握多种招聘面试技巧；3、两年以上互联网猎头或三年以上互联网招聘工作经验，熟练使用Office办公软件做招聘报表；4、优秀的沟通力、理解力、观察力及组织协调力；5、有互联网零售工作经验者优先。,酒仙桥,北京忧客商贸有限公司,100-499人,民营,所属行业：零售业,NULL,NULL,17.0,20.0,18.0,19
06f9dd7d71a3e4f3a81c70cf0767c668,http://m.58.com/bj/renli/38003594919043x.shtml?utm_source=market&spm=u-LMiOofB2J9tMcKG.baidubaipin&pagefrom=baidubaipin,2019-05-04,人事招聘包吃住不加班,4000-8000,北京,全职,1-3年,初中,4人,人力资源,加班补助;包住;包吃;周末双休,岗位职责：1、确动公司年度招聘计划以及预算，与部门沟通招聘需求负责招聘工作；2、选择并且维护招聘渠道，并拓展新的招聘渠道，发布招聘广告、参加各种招聘会；3、组织、安排面试，并且进行人力资源初试；4、进行薪资谈判、安排候选人入职，以及安排体检；5、候选人进入公司后，对试用期员工进行试用期沟通；6、办理劳动关系中相关手续（报到，转正，调动，离职）；7、领导交办的其他事情。任职资格：1、初中以上学历，人力资源、行政管理、英语等相关专业；2、无相关工作经验即可；3、熟练使用办公软件；熟悉人力资源系统以及了解劳动合同法及相关人事政策法规的优先考虑；4、具备强烈的责任感，事业心，优秀的沟通能力，耐心、细心，以及严谨的逻辑思维能力。工作时间：,北京朝阳朝阳周边,北京国威保安服务有限责任公司,100-499人,民营,所属行业：商务服务业,http://www.jindingbaoan.com,北京市朝阳区青年路青年汇青年公社102号楼三层0328,14.0,20.0,18.0,14
826d1af16bc54a26877c62f10b5d7e09,http://3g.ganji.com/bj_zpmeitiyingshi/3708875663x?from=baidu_open&ca_n=baidu_open_zhaopin_001&ca_s=tg_baidu&wapadprurl2=adurl,2019-05-04,北京礼仪模特招聘提供良好的住宿环境,20000以上,北京,全职,不限,不限,30人,影视/媒体,,职位描述:招聘要求：招聘年龄18—26周岁之间。;要求形象：女，净身高165cm以上，形象好，气质佳，五官端正，笑容甜美，时尚大气。;展开全部,,北京陆加壹酒店管理有限公司,100-499人,民营,所属行业：住宿业,NULL,NULL,12,20.0,18.0,20
28f5297b93367271c4eff331521f0c8e,http://m.lagou.com/jobs/5875167.html?utm_source=m_cf_seo_ald_wap,2019-05-04,人力资源实习生（招聘方向）(北京互联企信信息技术有限公司),3000-4000,北京,全职,不限,不限,若干,人力资源,,【岗位职责】1、协助人力资源助理和主管，批量搜索候选人简历或筛选应聘者简历；2、针对候选人进行面试通知，并协助安排面试；3、人力资源部安排的其他任务。【岗位要求】1.对人力资源方面工作有意向和对招聘方向有兴趣，企业会进行相关专业培训；2.具有招聘相关的实习或工作经验者优先；3.能吃苦耐劳者优先；4.周一~周五；5.男女不限（欢迎北京各大高校在校大学生前来应聘）。公司简介：TPChina全球知名专业的外包呼叫运营商北京2000人以上企业服务http://www.teleperformance.com,中关村南三街6号中科资源大厦3层,北京互联企信信息技术有限公司,500-999人,1000-9999人,民营,所属行业：软件和信息技术服务业,NULL,知春路甲63号卫星大厦,17.0,20.0,18.0,12
