,x1,x2,y
0,3.542485,1.977398,0.0
1,3.018896,2.556416,0.0
2,7.55151,-1.58003,1.0
3,2.114999,-0.004466,0.0
4,8.127113,1.274372,1.0
5,7.108772,-0.986906,1.0
6,8.610639,2.046708,1.0
7,2.326297,0.265213,0.0
8,3.634009,1.730537,0.0
9,0.341367,-0.894998,0.0
10,3.125951,0.293251,0.0
11,2.123252,-0.783563,0.0
12,0.887835,-2.797792,0.0
13,7.139979,-2.329896,1.0
14,1.696414,-1.212496,0.0
15,8.117032,0.623493,1.0
16,8.497162,-0.266649,1.0
17,4.658191,3.507396,0.0
18,8.197181,1.545132,1.0
19,1.208047,0.2131,0.0
20,1.928486,-0.32187,0.0
21,2.175808,-0.014527,0.0
22,7.886608,0.461755,1.0
23,3.223038,-0.552392,0.0
24,3.628502,2.190585,0.0
25,7.40786,-0.121961,1.0
26,7.286357,0.251077,1.0
27,2.301095,-0.533988,0.0
28,-0.232542,-0.54769,0.0
29,3.457096,-0.082216,0.0
30,3.023938,-0.057392,0.0
31,8.015003,0.885325,1.0
32,8.991748,0.923154,1.0
33,7.916831,-1.781735,1.0
34,7.616862,-0.217958,1.0
35,2.450939,0.744967,0.0
36,7.270337,-2.507834,1.0
37,1.749721,-0.961902,0.0
38,1.803111,-0.176349,0.0
39,8.804461,3.044301,1.0
40,1.231257,-0.568573,0.0
41,2.074915,1.41055,0.0
42,-0.743036,-1.736103,0.0
43,3.536555,3.96496,0.0
44,8.410143,0.025606,1.0
45,7.382988,-0.478764,1.0
46,6.960661,-0.245353,1.0
47,8.23446,0.701868,1.0
48,8.168618,-0.903835,1.0
49,1.534187,-0.622492,0.0
50,9.229518,2.066088,1.0
51,7.886242,0.191813,1.0
52,2.893743,-1.643468,0.0
53,1.870457,-1.04042,0.0
54,5.286862,-2.358286,1.0
55,6.080573,0.418886,1.0
56,2.544314,1.714165,0.0
57,6.016004,-3.753712,1.0
58,0.92631,-0.564359,0.0
59,0.870296,-0.109952,0.0
60,2.369345,1.375695,0.0
61,1.363782,-0.254082,0.0
62,7.27946,-0.189572,1.0
63,1.896005,0.51508,0.0
64,8.102154,-0.603875,1.0
65,2.529893,0.662657,0.0
66,1.963874,-0.365233,0.0
67,8.132048,0.785914,1.0
68,8.245938,0.372366,1.0
69,6.543888,0.433164,1.0
70,-0.236713,-5.766721,0.0
71,8.112593,0.295839,1.0
72,9.803425,1.495167,1.0
73,1.497407,-0.552916,0.0
74,1.336267,-1.632889,0.0
75,9.205805,-0.58648,1.0
76,1.966279,-1.840439,0.0
77,8.398012,1.584918,1.0
78,7.239953,-1.764292,1.0
79,7.556201,0.241185,1.0
80,9.015509,0.345019,1.0
81,8.266085,-0.230977,1.0
82,8.54562,2.788799,1.0
83,9.295969,1.346332,1.0
84,2.404234,0.570278,0.0
85,2.037772,0.021919,0.0
86,1.727631,-0.453143,0.0
87,1.979395,-0.050773,0.0
88,8.092288,-1.372433,1.0
89,1.667645,0.239204,0.0
90,9.854303,1.365116,1.0
91,7.921057,-1.327587,1.0
92,8.500757,1.492372,1.0
93,1.339746,-0.291183,0.0
94,3.107511,0.758367,0.0
95,2.609525,0.902979,0.0
96,3.263585,1.367898,0.0
97,2.912122,-0.202359,0.0
98,1.731786,0.589096,0.0
99,2.387003,1.573131,0.0
